docid,entityid,type
0,When To Use Graphs In Rag: A Comprehensive Analysis For Graph Retrieval-Augmented Generation,Paper
0,Zhishang Xiang,Author
0,Chuanjie Wu,Author
0,Qinggang Zhang,Author
0,Shengyuan Chen,Author
0,Zijin Hong,Author
0,Xiao Huang,Author
0,Jinsong Su,Author
0,Graphrag,Topic
0,Rag,Topic
0,Graphrag-Bench,Topic
0,Large Language Models,Topic
0,External Knowledge,Topic
0,Graphs,Topic
0,Hierarchical Structure,Topic
0,Hierarchical Knowledge Retrieval,Topic
0,Deep Contextual Reasoning,Topic
0,Fact Retrieval,Topic
0,Complex Reasoning,Topic
0,Contextual Summarization,Topic
0,Creative Generation,Topic
0,Graph Construction,Topic
0,Knowledge Retrieval,Topic
0,Final Generation,Topic
0,Accurate Reasoning,Topic
1,"Benchmarking Vector, Graph And Hybrid Retrieval Augmented Generation (Rag) Pipelines For Open Radio Access Networks (Oran)",Paper
1,Sarat Ahmad,Author
1,Zeinab Nezami,Author
1,Maryam Hafeez,Author
1,Syed Ali Raza Zaidi,Author
1,Generative Ai,Topic
1,Autonomous Optimization,Topic
1,Wireless Networks,Topic
1,Open Radio Access Networks,Topic
1,Oran Architecture,Topic
1,Ran Intelligent Controller,Topic
1,Api Definitions,Topic
1,Xapps,Topic
1,Rapps,Topic
1,Large Language Models,Topic
1,Fine-Tuning,Topic
1,Telecom-Specific Tasks,Topic
1,Retrieval-Augmented Generation,Topic
1,Vector Rag,Topic
1,Graphrag,Topic
1,Hybrid Graphrag,Topic
1,In-Context Learning,Topic
1,Domain Adaptation,Topic
1,Knowledge Graphs,Topic
1,Dual Retrieval Strategies,Topic
1,Multi-Hop Reasoning,Topic
1,Factual Grounding,Topic
1,Evaluation,Topic
1,Oran Specifications,Topic
1,Vector-Based Retrieval,Topic
1,Faithfulness,Topic
1,Answer Relevance,Topic
1,Context Relevance,Topic
1,Factual Correctness,Topic
2,Graph-R1: Towards Agentic Graphrag Framework Via End-To-End Reinforcement Learning,Paper
2,Haoran Luo,Author
2,Haihong E,Author
2,Guanting Chen,Author
2,Qika Lin,Author
2,Yikai Guo,Author
2,Fangzhi Xu,Author
2,Zemin Kuang,Author
2,Meina Song,Author
2,Xiaobao Wu,Author
2,Yifan Zhu,Author
2,Luu Anh Tuan,Author
2,Retrieval-Augmented Generation (Rag),Topic
2,Graphrag,Topic
2,Graph-R1,Topic
2,End-To-End Reinforcement Learning,Topic
2,Lightweight Knowledge Hypergraph Construction,Topic
2,Entity-Relation Graphs,Topic
2,Chunk-Based Retrieval,Topic
2,Structural Semantics,Topic
2,External Knowledge,Topic
2,Hallucination In Llms,Topic
2,Llms,Topic
2,Long-Context Reasoning,Topic
2,Prompt Design,Topic
2,Multi-Turn Agent-Environment Interaction,Topic
2,End-To-End Reward Mechanism,Topic
2,Reasoning Accuracy,Topic
2,Retrieval Efficiency,Topic
2,Generation Quality,Topic
2,Rag Datasets,Topic
2,High Construction Cost,Topic
2,Fixed One-Time Retrieval,Topic
2,Agentic Graphrag Framework,Topic
2,Agent Process,Topic
3,Rag Vs. Graphrag: A Systematic Evaluation And Key Insights,Paper
3,Haoyu Han,Author
3,Harry Shomer,Author
3,Yu Wang,Author
3,Yongjia Lei,Author
3,Kai Guo,Author
3,Zhigang Hua,Author
3,Bo Long,Author
3,Hui Liu,Author
3,Jiliang Tang,Author
3,Retrieval-Augmented Generation (Rag),Topic
3,Graphrag,Topic
3,Llms,Topic
3,Text-Based Data,Topic
3,Structured Data,Topic
3,Knowledge Graphs,Topic
3,Implicit Knowledge,Topic
3,Graph Data,Topic
3,Question Answering,Topic
3,Query-Based Summarization,Topic
3,Text-Based Benchmarks,Topic
3,Systematic Evaluation,Topic
3,Shortcomings Of Current Graphrag Approaches,Topic
3,Future Research,Topic
3,Strategies To Integrate Their Strengths,Topic
3,Downstream Tasks,Topic
4,Empowering Graphrag With Knowledge Filtering And Integration,Paper
4,Kai Guo,Author
4,Harry Shomer,Author
4,Shenglai Zeng,Author
4,Haoyu Han,Author
4,Yu Wang,Author
4,Jiliang Tang,Author
4,Large Language Models,Topic
4,Natural Language Processing,Topic
4,Graphrag,Topic
4,Graphrag-Fi,Topic
4,Graphrag-Filtering,Topic
4,Graphrag-Integration,Topic
4,Two-Stage Filtering Mechanism,Topic
4,Logits-Based Selection Strategy,Topic
4,External Graphs,Topic
4,Knowledge Gaps,Topic
4,Hallucinations,Topic
4,Retrieval-Augmented Generation,Topic
4,Intrinsic Reasoning,Topic
4,Knowledge Graph Qa Tasks,Topic
4,Noisy And Irrelevant Information,Topic
4,External Knowledge,Topic
4,Excessive Reliance On External Knowledge,Topic
5,Inference Scaled Graphrag: Improving Multi Hop Question Answering On Knowledge Graphs,Paper
5,Travis Thompson,Author
5,Seung-Hwan Lim,Author
5,Paul Liu,Author
5,Ruoying He,Author
5,Dongkuan Xu,Author
5,Large Language Models (Llms),Topic
5,Language Understanding And Generation,Topic
5,Knowledge-Intensive Reasoning Tasks,Topic
5,Structured Context,Topic
5,Multi-Hop Information,Topic
5,Retrieval-Augmented Generation (Rag),Topic
5,Graphrag,Topic
5,Knowledge Graphs,Topic
5,Inference-Scaled Graphrag,Topic
5,Inference-Time Compute Scaling,Topic
5,Sequential Scaling,Topic
5,Deep Chain-Of-Thought Graph Traversal,Topic
5,Parallel Scaling,Topic
5,Majority Voting,Topic
5,Interleaved Reasoning-Execution Loop,Topic
5,Grbench Benchmark,Topic
5,Multi-Hop Question Answering,Topic
5,Graph Traversal Baselines,Topic
5,Structured Knowledge Reasoning,Topic
6,T-Grag: A Dynamic Graphrag Framework For Resolving Temporal Conflicts And Redundancy In Knowledge Retrieval,Paper
6,Dong Li,Author
6,Yichen Niu,Author
6,Ying Ai,Author
6,Xiang Zou,Author
6,Biqing Qi,Author
6,Jianxing Liu,Author
6,Large Language Models (Llms),Topic
6,Natural Language Generation,Topic
6,Knowledge-Intensive Tasks,Topic
6,Outdated Or Incomplete Internal Knowledge,Topic
6,Retrieval-Augmented Generation (Rag),Topic
6,External Retrieval,Topic
6,Graphrag,Topic
6,Knowledge Graphs,Topic
6,Multi-Hop Reasoning,Topic
6,Temporal Dynamics Of Knowledge,Topic
6,Temporal Ambiguity,Topic
6,Time-Insensitive Retrieval,Topic
6,Semantic Redundancy,Topic
6,Temporal Graphrag (T-Grag),Topic
6,Temporal Knowledge Graph Generator,Topic
6,Temporal Query Decomposition,Topic
6,Three-Layer Interactive Retriever,Topic
6,Source Text Extractor,Topic
6,Llm-Based Generator,Topic
6,"Time-Stamped, Evolving Graph Structures",Topic
6,Temporal Queries,Topic
6,Temporal Subgraphs,Topic
6,Noise,Topic
6,Contextually And Temporally Accurate Responses,Topic
6,Time-Longqa,Topic
6,Benchmark Dataset,Topic
6,Corporate Annual Reports,Topic
6,Temporal Reasoning,Topic
6,Evolving Knowledge,Topic
6,Retrieval Accuracy,Topic
6,Response Relevance,Topic
6,Temporal Constraints,Topic
6,Knowledge Evolution,Topic
6,Long-Text Question Answering,Topic
6,Temporal Conflicts,Topic
6,Redundancy In Knowledge Retrieval,Topic
6,Dynamic Graphrag Framework,Topic
7,A Survey Of Graph Retrieval-Augmented Generation For Customized Large Language Models,Paper
7,Qinggang Zhang,Author
7,Shengyuan Chen,Author
7,Yuanchen Bei,Author
7,Zheng Yuan,Author
7,Huachi Zhou,Author
7,Zijin Hong,Author
7,Hao Chen,Author
7,Yilin Xiao,Author
7,Chuang Zhou,Author
7,Yi Chang,Author
7,Xiao Huang,Author
7,Large Language Models (Llms),Topic
7,Specialized Domains,Topic
7,Retrieval-Augmented Generation (Rag),Topic
7,Graph-Based Retrieval-Augmented Generation (Graphrag),Topic
7,Professional Fields,Topic
7,Professional Domains,Topic
7,Complex Query Understanding In Professional Contexts,Topic
7,Knowledge Integration Across Distributed Sources,Topic
7,System Efficiency Bottlenecks At Scale,Topic
7,Graph-Structured Knowledge Representation,Topic
7,Entity Relationships,Topic
7,Domain Hierarchies,Topic
7,Graph-Based Retrieval Techniques,Topic
7,Context-Preserving Knowledge Retrieval,Topic
7,Multihop Reasoning Ability,Topic
7,Structure-Aware Knowledge Integration Algorithms,Topic
7,Accurate And Logical Coherent Generation Of Llms,Topic
7,Domain-Specific Llm Applications,Topic
7,Technical Challenges,Topic
7,Research Directions,Topic
7,Awesome-Graphrag,Topic
7,Research Papers,Topic
7,Open-Source Data,Topic
7,Projects,Topic
8,Conversational Intent-Driven Graphrag: Enhancing Multi-Turn Dialogue Systems Through Adaptive Dual-Retrieval Of Flow Patterns And Context Semantics,Paper
8,Ziqi Zhu,Author
8,Tao Hu,Author
8,Honglong Zhang,Author
8,Dan Yang,Author
8,Hangeng Chen,Author
8,Mengran Zhang,Author
8,Xilun Chen,Author
8,Cid-Graphrag,Topic
8,Conversation Rag,Topic
8,Graphrag,Topic
8,Intent Transition Graphs,Topic
8,Dynamic Intent Transition Graphs,Topic
8,Dual-Retrieval Mechanism,Topic
8,Semantic Search,Topic
8,Intent-Based Graph Traversal,Topic
8,Semantic Similarity,Topic
8,Contextual Coherence,Topic
8,Goal-Oriented Progression,Topic
8,Multi-Turn Customer Service Conversations,Topic
8,Real-World Customer Service Dialogues,Topic
8,Retrieval Quality,Topic
8,Response Quality,Topic
8,Automatic Metrics,Topic
8,Llm-As-Judge,Topic
8,Bleu,Topic
8,Rouge-L,Topic
8,Meteor,Topic
8,Intent Transition Structures,Topic
8,Semantic Retrieval,Topic
8,Knowledge Graphs,Topic
8,Multi-Turn Dialogues,Topic
8,Evaluation Criteria,Topic
8,Goal Achieved Historical Dialogues,Topic
8,Intent Flow Patterns,Topic
8,Contextual Semantics,Topic
8,Knowledge-Intensive Multi-Turn Dialogues,Topic
9,Efficient Knowledge Graph Construction And Retrieval From Unstructured Text For Large-Scale Rag Systems,Paper
9,Congmin Min,Author
9,Rhea Mathew,Author
9,Joyce Pan,Author
9,Sahil Bansal,Author
9,Abbas Keshavarzi,Author
9,Amar Viswanathan Kannan,Author
9,Graphrag,Topic
9,Retrieval Augmented Generation,Topic
9,Enterprise Environments,Topic
9,Multi-Hop Reasoning,Topic
9,Structured Retrieval,Topic
9,Knowledge Graphs,Topic
9,Large Language Models,Topic
9,Graph-Based Retrieval,Topic
9,Dependency-Based Knowledge Graph Construction,Topic
9,Industrial-Grade Nlp Libraries,Topic
9,Unstructured Text,Topic
9,Lightweight Graph Retrieval,Topic
9,Hybrid Query Node Identification,Topic
9,One-Hop Traversal,Topic
9,Recall,Topic
9,Latency,Topic
9,Subgraph Extraction,Topic
9,Sap Datasets,Topic
9,Legacy Code Migration,Topic
9,Rag Baselines,Topic
9,Llm-As-Judge,Topic
9,Ragas,Topic
9,Llm-Generated Knowledge Graphs,Topic
9,Cost,Topic
9,Scalability,Topic
9,Real-World Large-Scale Enterprise Applications,Topic
9,Retrieval-Augmented Reasoning,Topic
9,Explainable,Topic
9,Domain-Adaptable,Topic
10,Gfm-Rag: Graph Foundation Model For Retrieval Augmented Generation,Paper
10,Linhao Luo,Author
10,Zicheng Zhao,Author
10,Gholamreza Haffari,Author
10,Dinh Phung,Author
10,Chen Gong,Author
10,Shirui Pan,Author
10,Retrieval-Augmented Generation,Topic
10,Large Language Models,Topic
10,Graphrag,Topic
10,Gfm-Rag,Topic
10,Graph Foundation Model,Topic
10,Graph Neural Network,Topic
10,Knowledge Graphs,Topic
10,Multi-Hop Qa,Topic
10,Domain-Specific Rag Datasets,Topic
10,Neural Scaling Laws,Topic
10,Retrieval,Topic
10,Graph Structure,Topic
10,Two-Stage Training,Topic
10,Large-Scale Datasets,Topic
10,Unseen Datasets,Topic
10,State-Of-The-Art Performance,Topic
10,Generalizability,Topic
10,Efficiency,Topic
10,Noise And Incompleteness,Topic
11,Rakg: Document-Level Retrieval Augmented Knowledge Graph Construction,Paper
11,Hairong Zhang,Author
11,Jiaheng Si,Author
11,Guohang Yan,Author
11,Boyuan Qi,Author
11,Pinlong Cai,Author
11,Song Mao,Author
11,Ding Wang,Author
11,Botian Shi,Author
11,Knowledge Graphs,Topic
11,Retrieval-Augmented Generation (Rag),Topic
11,Graphrag,Topic
11,Pike-Rag,Topic
11,Large Language Models (Llms),Topic
11,Knowledge Graph Construction (Kgc),Topic
11,Entity Disambiguation,Topic
11,Schema Definition,Topic
11,Cross-Document Knowledge Integration,Topic
11,Automatic Document-Level Knowledge Graph Construction,Topic
11,Rakg Framework,Topic
11,Pre-Entities,Topic
11,Text Chunks,Topic
11,Long-Context Forgetting,Topic
11,Coreference Resolution,Topic
11,Global Information,Topic
11,Interconnections Among Disparate Nodes,Topic
11,Rag Evaluation Framework,Topic
11,Hallucinations In Llms,Topic
11,Mine Dataset,Topic
12,Xgraphrag: Interactive Visual Analysis For Graph-Based Retrieval-Augmented Generation,Paper
12,Ke Wang,Author
12,Bo Pan,Author
12,Yingchaojie Feng,Author
12,Yuwei Wu,Author
12,Jieyi Chen,Author
12,Minfeng Zhu,Author
12,Wei Chen,Author
12,Graph-Based Retrieval-Augmented Generation,Topic
12,Retrieval-Augmented Generation,Topic
12,Large Language Model,Topic
12,Graphrag,Topic
12,Visual Analysis Framework,Topic
12,Xgraphrag,Topic
12,Interactive Visualizations,Topic
12,Interpretability,Topic
12,Accessibility,Topic
12,External Knowledge Base,Topic
12,Failure Cases,Topic
12,Improvement Opportunities,Topic
12,Effectiveness,Topic
12,Usability,Topic
12,Open-Sourced,Topic
12,Github,Topic
13,Graphraft: Retrieval Augmented Fine-Tuning For Knowledge Graphs On Graph Databases,Paper
13,Alfred Clemedtson,Author
13,Borun Shi,Author
13,Large Language Models,Topic
13,Hallucination,Topic
13,Private Data,Topic
13,Retrieval-Augmented Generation,Topic
13,Graphrag,Topic
13,Knowledge Graphs,Topic
13,Graph Databases,Topic
13,Graph Query Languages,Topic
13,Graphraft,Topic
13,Retrieve-And-Reason Framework,Topic
13,Finetunes Llms,Topic
13,Cypher Queries,Topic
13,Subgraph Contexts,Topic
13,Accurate Answers,Topic
13,Off-The-Shelf Solution,Topic
13,Native Graph Dbs,Topic
13,Benchmarks,Topic
13,Sample-Efficient,Topic
13,Training Data,Topic
13,State-Of-The-Art Models,Topic
13,Four Standard Metrics,Topic
13,Q&As,Topic
13,Large Text-Attributed Kgs,Topic
13,Entities Multiple Hops Away,Topic
14,Graphrag-Bench: Challenging Domain-Specific Reasoning For Evaluating Graph Retrieval-Augmented Generation,Paper
14,Yilin Xiao,Author
14,Junnan Dong,Author
14,Chuang Zhou,Author
14,Su Dong,Author
14,Qian-Wen Zhang,Author
14,Di Yin,Author
14,Xing Sun,Author
14,Xiao Huang,Author
14,Graph Retrieval Augmented Generation (Graphrag),Topic
14,Large Language Models,Topic
14,Domain-Specific Corpora,Topic
14,Complex Reasoning,Topic
14,Question-Answering Datasets,Topic
14,Evaluation Metrics,Topic
14,Graphrag Models,Topic
14,Graphrag-Bench,Topic
14,Challenging Question Design,Topic
14,Diverse Task Coverage,Topic
14,Holistic Evaluation Framework,Topic
14,College-Level Questions,Topic
14,Domain-Specific Questions,Topic
14,Multi-Hop Reasoning,Topic
14,Mathematical Reasoning,Topic
14,Programming,Topic
14,Reasoning Tasks,Topic
14,Multiple-Choice,Topic
14,True/False,Topic
14,Multi-Select,Topic
14,Open-Ended,Topic
14,Fill-In-The-Blank,Topic
14,16 Disciplines,Topic
14,20 Core Textbooks,Topic
14,Graphrag Pipeline,Topic
14,Graph Construction,Topic
14,Knowledge Retrieval,Topic
14,Answer Generation,Topic
14,Final-Answer Correctness,Topic
14,Logical Coherence,Topic
14,Reasoning Process,Topic
14,Graph-Based Structuring,Topic
14,Graph Architectures,Topic
14,Retrieval Efficacy,Topic
14,Reasoning Capabilities,Topic
14,Nine Contemporary Graphrag Methods,Topic
15,Fg-Rag: Enhancing Query-Focused Summarization With Context-Aware Fine-Grained Graph Rag,Paper
15,Yubin Hong,Author
15,Chaofan Li,Author
15,Jingyi Zhang,Author
15,Yingxia Shao,Author
15,Retrieval-Augmented Generation (Rag),Topic
15,Large Language Models,Topic
15,External Knowledge,Topic
15,Query-Focused Summarization (Qfs),Topic
15,Graphrag,Topic
15,Context-Aware Fine-Grained Graph Rag (Fg-Rag),Topic
15,Context-Aware Entity Expansion,Topic
15,Graph Retrieval,Topic
15,Query-Level Fine-Grained Summarization,Topic
15,Query Awareness,Topic
15,Comprehensiveness,Topic
15,Diversity,Topic
15,Empowerment,Topic
16,Byokg-Rag: Multi-Strategy Graph Retrieval For Knowledge Graph Question Answering,Paper
16,Costas Mavromatis,Author
16,Soji Adeshina,Author
16,Vassilis N. Ioannidis,Author
16,Zhen Han,Author
16,Qi Zhu,Author
16,Ian Robinson,Author
16,Bryan Thompson,Author
16,Huzefa Rangwala,Author
16,George Karypis,Author
16,Knowledge Graph Question Answering,Topic
16,Large Language Model,Topic
16,Llm Agents,Topic
16,Graph Traversal,Topic
16,Graph Retrieval,Topic
16,Entity Linking,Topic
16,Custom Kgs,Topic
16,Byokg-Rag,Topic
16,Graph Tools,Topic
16,Opencypher Queries,Topic
16,Reasoning Paths,Topic
16,Graph Context,Topic
16,Generalization,Topic
16,Benchmarks,Topic
16,Knowledge Graph,Topic
16,Candidate Answers,Topic
16,Question Entities,Topic
17,Graphrag Under Fire,Paper
17,Jiacheng Liang,Author
17,Yuhui Wang,Author
17,Changjiang Li,Author
17,Rongyi Zhu,Author
17,Tanqiu Jiang,Author
17,Neil Gong,Author
17,Ting Wang,Author
17,Graphrag,Topic
17,Rag,Topic
17,Retrieval-Augmented Generation,Topic
17,Knowledge Graph,Topic
17,Multi-Scale Knowledge Graphs,Topic
17,Security,Topic
17,Poisoning Attacks,Topic
17,Rag Poisoning Attacks,Topic
17,Graph-Based Indexing,Topic
17,Retrieval,Topic
17,Attack Surfaces,Topic
17,Gragpoison,Topic
17,Relation Injection,Topic
17,Relation Enhancement,Topic
17,Narrative Generation,Topic
17,Datasets,Topic
17,Models,Topic
17,Effectiveness,Topic
17,Scalability,Topic
17,Defensive Measures,Topic
17,Future Research,Topic
17,Success Rate,Topic
17,Poisoning Text,Topic
17,Shared Relations,Topic
17,Multiple Queries,Topic
17,Malicious Content,Topic
18,Graph Retrieval-Augmented Generation: A Survey,Paper
18,Boci Peng,Author
18,Yun Zhu,Author
18,Yongchao Liu,Author
18,Xiaohe Bo,Author
18,Haizhou Shi,Author
18,Chuntao Hong,Author
18,Yan Zhang,Author
18,Siliang Tang,Author
18,Retrieval-Augmented Generation,Topic
18,Large Language Models,Topic
18,External Knowledge Base,Topic
18,Hallucination,Topic
18,Lack Of Domain-Specific Knowledge,Topic
18,Outdated Information,Topic
18,Databases,Topic
18,Graph Retrieval-Augmented Generation,Topic
18,Relational Knowledge,Topic
18,Context-Aware Responses,Topic
18,Graph-Based Indexing,Topic
18,Graph-Guided Retrieval,Topic
18,Graph-Enhanced Generation,Topic
18,Downstream Tasks,Topic
18,Application Domains,Topic
18,Evaluation Methodologies,Topic
18,Industrial Use Cases,Topic
18,Training Methods,Topic
18,Core Technologies,Topic
18,Survey,Topic
19,Retrieval-Augmented Generation With Graphs (Graphrag),Paper
19,Haoyu Han,Author
19,Yu Wang,Author
19,Harry Shomer,Author
19,Kai Guo,Author
19,Jiayuan Ding,Author
19,Yongjia Lei,Author
19,Mahantesh Halappanavar,Author
19,Ryan A. Rossi,Author
19,Subhabrata Mukherjee,Author
19,Xianfeng Tang,Author
19,Qi He,Author
19,Zhigang Hua,Author
19,Bo Long,Author
19,Tong Zhao,Author
19,Neil Shah,Author
19,Amin Javari,Author
19,Yinglong Xia,Author
19,Jiliang Tang,Author
19,Retrieval-Augmented Generation (Rag),Topic
19,Graph,Topic
19,Graphrag,Topic
19,Graph-Structured Data,Topic
19,Relational Knowledge,Topic
19,Holistic Graphrag Framework,Topic
19,Query Processor,Topic
19,Retriever,Topic
19,Organizer,Topic
19,Generator,Topic
19,Data Source,Topic
19,Research Challenges,Topic
19,Cross-Disciplinary Opportunities,Topic
19,Real-World Applications,Topic
19,Neural-Embedding Space,Topic
19,Domains,Topic
19,Techniques,Topic
19,External Data Sources,Topic
19,Survey,Topic
20,Lego-Graphrag: Modularizing Graph-Based Retrieval-Augmented Generation For Design Space Exploration,Paper
20,Yukun Cao,Author
20,Zengyi Gao,Author
20,Zhiyang Li,Author
20,Xike Xie,Author
20,S. Kevin Zhou,Author
20,Jianliang Xu,Author
20,Graphrag,Topic
20,Knowledge Graphs,Topic
20,Large Language Models,Topic
20,Lego-Graphrag,Topic
20,Databases,Topic
20,Natural Language Processing,Topic
20,Modular Framework,Topic
20,Retrieval-Augmented Generation,Topic
20,Empirical Studies,Topic
20,Design Space Exploration,Topic
20,Reasoning Quality,Topic
20,Runtime Efficiency,Topic
20,Token Or Gpu Cost,Topic
20,Modular Workflow Analysis,Topic
20,Systematic Solution Frameworks,Topic
20,Fine-Grained Decomposition,Topic
20,Systematic Classification,Topic
20,Creation Of New Graphrag Instances,Topic
20,Large-Scale Real-World Graphs,Topic
20,Diverse Query Sets,Topic
20,Contextual Relevance,Topic
20,Graphrag Workflow,Topic
20,Existing Techniques,Topic
20,Implemented Graphrag Instances,Topic
20,Graphrag Instances,Topic
20,Reasoning Accuracy,Topic
21,"Generating Knowledge Graphs From Large Language Models: A Comparative Study Of Gpt-4, Llama 2, And Bert",Paper
21,Ahan Bhatt,Author
21,Nandan Vaghela,Author
21,Kush Dudhia,Author
21,Knowledge Graphs,Topic
21,Graphrags,Topic
21,Retrieval-Augmented Generative Systems (Rags),Topic
21,Structured Reasoning,Topic
21,Semantic Understanding,Topic
21,Accuracy And Scalability Limitations,Topic
21,Traditional Methods,Topic
21,Large Language Models (Llms),Topic
21,Gpt-4,Topic
21,Llama 2 (13B),Topic
21,Bert,Topic
21,Unstructured Data,Topic
21,Traditional Pipelines,Topic
21,Precision,Topic
21,Recall,Topic
21,F1-Score,Topic
21,Graph Edit Distance,Topic
21,Semantic Similarity,Topic
21,Semantic Fidelity,Topic
21,Structural Accuracy,Topic
21,"Lightweight, Domain-Specific Graphs",Topic
21,Entity-Relationship Modeling,Topic
21,Kg Creation,Topic
21,Graphrag Accessibility,Topic
21,Real-World Applications,Topic
22,"Beyond Single Pass, Looping Through Time: Kg-Irag With Iterative Knowledge Retrieval",Paper
22,Ruiyi Yang,Author
22,Hao Xue,Author
22,Imran Razzak,Author
22,Hakim Hacid,Author
22,Flora D. Salim,Author
22,Graphrag,Topic
22,Knowledge Graphs,Topic
22,Large Language Models,Topic
22,Rag,Topic
22,Kg-Irag,Topic
22,Iterative Reasoning,Topic
22,Multi-Step Reasoning,Topic
22,Temporal Dependencies,Topic
22,Logical Dependencies,Topic
22,External Knowledge Graphs,Topic
22,Step-By-Step Reasoning,Topic
22,Dynamic Temporal Data Extraction,Topic
22,Weather Conditions,Topic
22,Traffic Patterns,Topic
22,Travel Times,Topic
22,Complex Reasoning Tasks,Topic
22,Logic-Based Retrieval,Topic
22,Information Retrieval,Topic
22,External Knowledge,Topic
22,Weatherqa-Irish,Topic
22,Weatherqa-Sydney,Topic
22,Trafficqa-Tfnsw,Topic
23,You Don'T Need Pre-Built Graphs For Rag: Retrieval Augmented Generation With Adaptive Reasoning Structures,Paper
23,Shengyuan Chen,Author
23,Chuang Zhou,Author
23,Zheng Yuan,Author
23,Qinggang Zhang,Author
23,Zeyang Cui,Author
23,Hao Chen,Author
23,Yilin Xiao,Author
23,Jiannong Cao,Author
23,Xiao Huang,Author
23,Large Language Models,Topic
23,Hallucination,Topic
23,Factually Incorrect Statements,Topic
23,Retrieval-Augmented Generation,Topic
23,Graph-Based Rag,Topic
23,Logicrag,Topic
23,Pre-Constructed Graphs,Topic
23,Directed Acyclic Graph,Topic
23,Topological Sort,Topic
23,Graph Pruning,Topic
23,Context Pruning,Topic
23,Token Cost,Topic
23,Knowledge Bases,Topic
23,Multi-Step Reasoning,Topic
23,Query Decomposition,Topic
23,Adaptive Retrieval,Topic
23,Inference Time,Topic
23,Knowledge Retrieval,Topic
23,Ineffective Knowledge Retrieval,Topic
23,Update Latency,Topic
23,Relational Connections,Topic
23,Distributed Documents,Topic
23,Complex Tasks,Topic
23,Query-Relevant Contexts,Topic
23,Llm Reasoning,Topic
23,Performance,Topic
23,Efficiency,Topic
23,State-Of-The-Art Baselines,Topic
23,Logical Dependencies,Topic
23,Logic Structures,Topic
23,Reasoning Structures,Topic
24,Addressing Accuracy And Hallucination Of Llms In Alzheimer'S Disease Research Through Knowledge Graphs,Paper
24,Tingxuan Xu,Author
24,Jiarui Feng,Author
24,Justin Melendez,Author
24,Kaleigh Roberts,Author
24,Donghong Cai,Author
24,Mingfang Zhu,Author
24,Donald Elbert,Author
24,Yixin Chen,Author
24,Randall J. Bateman,Author
